,Scrape Date,Category,Thumbnail,Title,Stars,N_Ratings,Price,Availability,Description,Product Dimensions,Item Weight,Country of Origin,Number of Pieces,Batteries required,Brand,UPC,Number of Items,Manufacturer,ASIN,Best Sellers Rank,color,material,special feature,power source,item model number,price,delivery,customer ratings,sold by
10,2025-03-08 14:22:36.570765,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/713ll6PPb2L._AC_SX679_.jpg,Tabletop Fountain Indoor Waterfall Meditation Fountain Office Relaxing Tabletop Fountain Includes Many Natural River Rock LED Lights Rolling Decorative Bubble Balls,4.0,400 ratings,$22.95,In Stock,,"5.12""L x 5.12""W x 7.09""H",1.85 pounds,China,,,AMOOTEK,746198980556,,AMOOTEK,B09V2QW3XL,"#133,753 in Home & Kitchen (See Top 100 in Home & Kitchen) #19 in Tabletop Fountains","Brown, Black","Plastic, Abs, Glass","Durable,Led Lights",Corded Electric,VES3353,$22.95$22.95,"Get it as soon as Thursday, Mar 13",4.04.0 out of 5 stars400,Amootek-US
11,2025-03-08 14:22:36.761159,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81Ce3AtvxxL._AC_SX679_.jpg,"Tabletop Fountain Waterfall Fountain Office Tabletop Fountain Includes Many Natural River Rocks Decorated with Colorful Light 6.3"" L x 5.12"" W x 8.66"" H",4.0,641 ratings,$22.95,In Stock,,"9.05""L x 6.89""W x 10.63""H",2.46 pounds,China,,,AMOOTEK,,,MADE IN CHINA,B0B4DDGHRR,"#87,288 in Home & Kitchen (See Top 100 in Home & Kitchen) #8 in Tabletop Fountains",Rock,Resin,"Durable,Easy To Use",Corded Electric,AM-308,$22.95$22.95,"Get it as soon as Thursday, Mar 13",4.04.0 out of 5 stars641,Amootek-US
12,2025-03-08 14:22:36.901870,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81lY8n+lJtL._AC_SX679_.jpg,"Alpine Corporation WIN326 Indoor Tabletop Light-Up Tiered Rainforest Tree Trunk Water Fountain with LED Lights, 11"", Brown",4.0,"1,043 ratings",$40.99,In Stock,"Enjoy the meditative sounds of nature indoors with the Alpine Corporation Rainforest Tabletop Fountain! Take in the tranquil sounds of the water gently cascading over natural-looking aged bark in the comfort of your own home. This fountain is perfect for tabletops in your office, entryway, or out on your patio or yard. The resin, stone powder, and fiberglass construction is weatherproof, rust-resistant, and durable for years of quality use. LED lights illuminate your space, drawing attention to the relaxing water pools day or night for added ambiance. To use, simply plug into an outlet, fill the lower level with water, and watch as the interior pump creates a lovely water flow reminiscent of a lush rainforest. With a 2-year Support, you can be confident in the quality of your purchase. Fountain measures 7""L x 5""W x 11""H, perfect for tabletops. Alpine Corporation is one of America's leading designers, importers, and distributors of superior quality home and garden decor products. Alpine Corporation's award winning in-house design team continuously develops new and innovative ""statement pieces"" for your home and garden. Your indoor and outdoor living spaces will be the envy of the neighborhood with our wide assortment of fresh, fashionable and contemporary products, from beautifully crafted solar garden stakes featuring patented motion and fiber optic lighting technology to beautiful fountains and delightful bird baths and feeders.","7""L x 5""W x 11""H",3.3 pounds,China,,,Alpine Corporation,885664549481 821559025982,,Alpine Corporation,B00488V9MI,"#159,679 in Home & Kitchen (See Top 100 in Home & Kitchen) #26 in Tabletop Fountains",Brown,"Polystone, Fiberglass",Lighted,Corded Electric,WIN326,-32% $40.99$40.99List: $59.99,"Get it as soon as Thursday, Mar 13","4.04.0 out of 5 stars1,043",Amazon.com
13,2025-03-08 14:22:37.030992,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/61oU2ZwlQAL._AC_SX679_.jpg,"Spinning Orb Rock Cascading Tabletop Fountain, Zen Meditation Indoor Waterfall Feature with LED Light for Home Office Bedroom Relaxation",4.4,"3,428 ratings",$39.99,In Stock,"Made from sturdy poly resin, this rock waterfall fountain is lightweight and durable for lasting long. Comes with quiet submersible pump, no worry of the interruption of pump noise.
Crafted to be like a realistic rock that coated in moss, giving it a wonderful natural appeal.Classic and elegant, this fountain brings soothing quality to your home.
Crystal-like orb spins as water cascades down four tiers of stone-like layers creating a calming ambiance and all the while actually helping to achieve healthier air humidity levels all around you.
The rolling ball is lit by the LED lighting to offer a peaceful, calming glow. Give your home or office a touch of style and serenity with this zen table fountain.
Measures 8.3"" high x 7.9"" wide x 7.9"" deep. This indoor water feature is a perfect addition for home, office, or anywhere you want to add a relaxing touch. NOTE: There is no ""ON/OFF"" switch on the fountain.","7.9""L x 7.9""W x 8.3""H",2.69 pounds,,,,BBabe,704755406277,,BBabe,B07VYMW23L,"#67,841 in Home & Kitchen (See Top 100 in Home & Kitchen) #4 in Tabletop Fountains","8 3/10""",poly-resin,"Led Light,Lightweight,Quiet Submersible Pump,Sturdy",Corded Electric,,— no data,Get it Mar 12 - 13,"4.44.4 out of 5 stars3,428",BBabe
14,2025-03-08 14:22:37.167024,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/715svncIIqL._AC_SX679_.jpg,"Tabletop Water Fountain, Home Décor Soothing Sound Machine with Automatic Pump, Deep Basin and Natural River Rocks. Indoor Zen Relaxation for Office, Living Room, or Bedroom Décor.",4.0,203 ratings,$47.89,In Stock,"Promotes relaxation: Tabletop water fountains create a soothing and tranquil atmosphere that can help you relax and relieve stress. The sound of running water is known to have a calming effect on the mind and body.
Easy to set up: MAOCHI tabletop fountains are easy to assemble and require no plumbing. Simply add water and plug them into a standard electrical outlet.
Adds a decorative touch: Tabletop water fountains come in a variety of designs and styles, making them a great addition to any home or office décor. They can be used as a centerpiece or accent piece to add a unique touch to any space.
Can improve air quality: Using a nature resin fountain can help humidify dry air, which can be especially beneficial during the winter months.
Artistic design: Many nature resin fountains are hand-crafted and have intricate details, making them not only functional but also beautiful works of art.","8.27""L x 6.5""W x 9.45""H",3.69 pounds,China,,,MAOCHI,,,MAOCHI,B0CDLJZVBP,"#166,034 in Home & Kitchen (See Top 100 in Home & Kitchen) #28 in Tabletop Fountains",3-bowl River Rocks,Resin,Water Flowing,Corded Electric,RJ-23029,$47.89$47.89,"Get it as soon as Thursday, Mar 13",4.04.0 out of 5 stars203,MAOCHI
15,2025-03-08 14:22:37.296531,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/71Jyq2MWK0L._AC_SX679_.jpg,"Indoor Tabletop Waterfall Moon Fountain, Home Décor Soothing Rain Sound Meditation Relaxing Fountains, Nature Slate Water Feature with Light for Room Office Desktop Decoration-13 Tall",3.9,57 ratings,$69.99,Only 12 left in stock - order soon.,"【Home Decor Waterfall】Our indoor fountain will bring a calming, and decorative feel to any room, water flow to nature slate create a gentle soothing rain sound, add beauty and tranquility to the interior space decoration space.
【Calming & Relaxing】The relaxing table fountains let you listen to the sounds of a water crashing down onto the stone. It makes you feel like you're in nature, relieves the strain of the day. Perfect for your office setting, bedroom, living room, home decor etc.
【High Quality Material】The size of home fountain is about W12.6"" x H13.4"", made of high quality aluminum alloy and nature slate material. The unique hanging slate design and brown base make the modern fountain decor more high-end.(Notice: the slate is natural and may differ from the photos)
【Easy to Use】Pamopamo desktop fountain does not have a complicated install process, follow the install instructions to assemble it perfectly. Comes with LED light submersible pump that continuously circulates the water. After installation, plug the power cord and you'll get a beautiful fountain. (Please make sure there is enough water in the basin to avoid water leakage problems)
【Table Fountains for Desktop】Indoor fountains with the flow of water can increase indoor air humidity, bringing fresh air to anyone. It is a good choice for your parent or friend in festival, which will give their home or office a touch of style and serenity with this indoor water feature.","14""L x 14""W x 5""H",6.59 pounds,China,,,Pamopamo,614170448199,,Pamopamo,B0D41NV95J,"#159,201 in Home & Kitchen (See Top 100 in Home & Kitchen) #25 in Tabletop Fountains",Brown,Aluminum,"Corded, Lighted, Rust Resistant",Corded Electric,,$69.99$69.99,"Get it as soon as Thursday, Mar 13",3.93.9 out of 5 stars57,Xiayuqiukeji
16,2025-03-08 14:22:37.480875,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/71HDHol-PLL._AC_SX679_.jpg,Tabletop Fountain 4 Level Small Waterfall Fountain Indoor Relaxing Water Feature Meditation Fountain for Home Office Bedroom Decoration Including LED Color Lighting and Natural Rocks,4.1,93 ratings,$25.99,In Stock,,"6.18""L x 5.12""W x 7.48""H",1.55 pounds,China,,,AMOOTEK,,,Amootek,B0DGTH28YY,"#157,891 in Home & Kitchen (See Top 100 in Home & Kitchen) #24 in Tabletop Fountains",Brown,Plastic,Lightweight,ELECTRIC,AM-2020-03,$25.99$25.99,"Get it as soon as Thursday, Mar 13",4.14.1 out of 5 stars93,shanxihongxuetongshangmaoyouxiangongsi
17,2025-03-08 14:22:37.611064,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81Tl3GthCNL._AC_SX679_.jpg,Ferrisland Tabletop Fountain Desktop Electric Water Fountain Decor w/LED - Indoor Portable Tabletop Decorative Zen Meditation Waterfall Kit Includes Submersible Pump,4.3,752 ratings,$39.99,In Stock,"DECORATIVE ACCENT: The Ferrisland Electric Meditation Indoor Fountain is a stylish piece of home decor that fits on the kitchen counter, living room table, or office desk. It adds beautiful value to any space that will surely wow your guests!
SOOTHING RELAXATION: The fountain provides soothing relaxation and tranquility. Listen to the sounds of a waterfall crashing down onto the tiers below as they gently rock you to sleep or bring you a comforting stress relief.
BUILT-IN AUTOMATIC PUMP: Each portable birds water fountain kit has a built-in quiet submersible pump that continuously circulates the water keeping it safer, cleaner & free of algae. It features an adjustable water flow rate and a simple plug in operation.
LIGHTS UP THE MOOD: This 3-tier relaxing table top birds fountain decoration has a subtle LED illuminated lighting effect that is really pleasing to the eye and that’s sure to improve your comfort.
INDOOR SAFE: A versatile gardening and landscaping piece, this cool tiered desktop cascade LED fountain can be placed anywhere inside or outside your home. Perfect for your bedroom, garden or patio!
EASY to CLEAN：Just rinse the birds fountain with water","7.1""L x 7.1""W x 9.1""H",2.72 pounds,China,,,Ferrisland,720643465089,,Ferrisland,B07TNJPK7P,"#191,500 in Home & Kitchen (See Top 100 in Home & Kitchen) #35 in Tabletop Fountains",Colorful,Poly-resin,"table decor, brithday gifts",Corded,VES1595,$42.99$42.99,"Get it as soon as Thursday, Mar 13",4.34.3 out of 5 stars752,Ferrisland
18,2025-03-08 14:22:37.723814,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/71C-LYM3BIL._AC_SX679_.jpg,Tabletop Fountain Indoor Waterfall Meditation Fountain Like Layers of Rock Desktop Water Feature Includes Many Natural River Rock LED Lights Rolling Decorative Bubble Balls,4.2,555 ratings,$23.95,In Stock,,"5.12""L x 5.12""W x 7.08""H",1.83 pounds,China,,,AMOOTEK,746198980532,,AMOOTEK,B09QT7HG9X,"#106,104 in Home & Kitchen (See Top 100 in Home & Kitchen) #10 in Tabletop Fountains",Black,"Plastic, Abs","Durable,Led Lights",Corded Electric,VES3193,$23.95$23.95,"Get it as soon as Thursday, Mar 13",4.24.2 out of 5 stars555,Amootek-US
19,2025-03-08 14:22:37.843525,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/61eZJTrKYLL._AC_SX679_.jpg,"Four Tiers Modern Zen Slate Stone Feng Shui Ball Indoor Small Tabletop Water Fountain with Light 9"" High for Table Desk-Top Home Office Bedroom House Living Room Relaxation - John Timberland",4.0,444 ratings,$149.99,In Stock,"【Specifications】 12"" wide x 9"" high x 12"" deep. Weighs 18 lbs. Small table fountain size for office or kitchen use, from the John Timberland brand.
【Elevate your outdoor and indoor spaces with elegance】Add a freestanding tiered fountain with LED lights to a front yard corner. This lighted cascading fountain creates soothing water sounds, blending seamlessly with your outdoor decor for ultimate relaxation in any setting.
【Timeless charm for patios and balconies】A small fountain, rustic patio fountain, or mini fountain elevates your front porch, balcony, or patio waterfall, providing a serene ambiance for both personal and shared spaces. Natural slate construction with a top stone ball that will rotate with the water flow. LED array is built-in and illuminates the design from within.
【Relaxing Water Fountain】Also comes with decorative river rocks that you can arrange as you wish. Plug-in table fountain. Includes adjustable water pump, hoses, and cord. Lightweight design is easy to move and position.
【Create a tranquil workspace or patio retreat】A desktop fountain or table fountain enhances your office waterfall or patio water feature. Pair a mini waterfall or zen waterfall with a deck fountain to bring peace and calm to your indoor or outdoor areas.","12""L x 12""W x 9""H",18 pounds,China,,,John Timberland,736101393405,,Universal Lighting and Decor,B0041TLQ72,"#506,829 in Home & Kitchen (See Top 100 in Home & Kitchen) #126 in Tabletop Fountains",Feng Shui 4 Tier,Stone,Lighting,Plug In Electric,,$149.99$149.99,—,4.04.0 out of 5 stars444,LAMPS PLUS
